Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 202.637, -35.1029, 221.015, -152.351, 196.279, 86.0337, 2.22036E-011, 34.992, 1.49998E-011, -165.964, 7.27596E-012, 180
100, 2.00000, 0.0156197, -110.808, 0.011415, -98.3466, 0.0129868, -170.711, 9.93014E-016, 26.5651, 1.09344E-015, 23.9625, 9.93014E-016, 63.4349
150, 3.00000, 2.10319, -84.3514, 1.48524, -64.5987, 1.61636, -62.2892, 1.71121E-013, 94.7636, 1.42109E-013, 36.8699, 9.09939E-014, 38.6598
200, 4.00000, 0.0432673, 151.798, 0.0277619, 36.3166, 0.0421522, -64.8866, 3.69055E-015, 68.8387, 1.77636E-015, -90, 1.77636E-015, -90
250, 5.00000, 0.738546, 89.2377, 1.41531, -177.781, 0.392479, 179.141, 1.00486E-014, 135, 7.32411E-015, -75.9638, 3.82639E-014, -21.8014
300, 6.00000, 0.0399702, -44.5015, 0.0324707, -70.5736, 0.0379544, -106.789, 1.25607E-015, 45, 1.11022E-015, 53.1301, 4.44089E-016, 90
350, 7.00000, 1.02028, -135.146, 1.26128, 95.0417, 1.02797, -38.9378, 7.10543E-014, -53.1301, 3.55271E-014, -36.8699, 4.01944E-014, -135
400, 8.00000, 0.0229968, -32.3354, 0.025299, 151.965, 0.0351207, -141.892, 1.40433E-015, 108.435, 4.44089E-016, -90, 2.22045E-016, 90
450, 9.00000, 0.971181, -125.905, 0.905366, -93.0475, 0.962555, -136.589, 7.32411E-015, 75.9638, 1.24345E-014, 180, 1.77636E-014, -36.8699
500, 10.00000, 0.0424163, -173.593, 0.0255062, 85.1352, 0.00752718, -82.4603, 1.47163E-015, 164.129, 1.07783E-015, 55.4915, 3.55445E-016, -51.3402
550, 11.00000, 0.975707, 96.3617, 0.941083, -131.658, 1.07716, -42.6709, 1.77636E-014, 90, 3.55271E-015, -90, 2.86429E-014, 82.875
650, 13.00000, 0.410667, -17.4937, 0.517903, 17.5061, 0.147347, 113.778, 1.38809E-014, -82.6476, 1.46095E-014, 155.772, 1.59872E-014, -90
750, 15.00000, 0.144329, 7.3713, 0.30271, -36.818, 0.431879, -68.5945, 7.32411E-015, -14.0362, 2.84356E-015, -51.3402, 1.77636E-015, 180
850, 17.00000, 0.829906, -25.0923, 0.493754, 137.595, 0.537405, -160.516, 2.90938E-014, 102.339, 5.61733E-015, 71.565, 5.0243E-015, -45
950, 19.00000, 0.788837, -121.828, 0.620961, 135.468, 0.45015, -22.2324, 2.73611E-014, 166.866, 3.97205E-015, 116.565, 1.2339E-014, -120.256
1050, 21.00000, 0.353898, 133.926, 0.129053, 117.89, 0.514814, 74.7113, 8.88178E-015, -126.87, 2.51215E-015, 45, 7.16072E-015, -7.12502
1150, 23.00000, 0.782851, 93.4678, 0.498416, -145.769, 0.633391, -50.126, 1.48886E-014, 17.354, 9.05768E-015, 11.3099, 3.97205E-015, 63.4349
1250, 25.00000, 0.253645, 40.6911, 0.431757, -110.287, 0.449415, 51.937, 7.85674E-015, -137.291, 7.53644E-015, -135, 5.61733E-015, -108.435
1350, 27.00000, 0.464511, -112.979, 0.344987, -143.708, 0.728803, -139.054, 2.66454E-015, 180, 4.44089E-015, 0, 1.77636E-015, -90
1450, 29.00000, 0.765549, -143.18, 0.682814, -36.8557, 0.785667, 76.9445, 8.88178E-015, 180, 5.61733E-015, -18.4349, 1.06951E-014, 48.3665
1550, 31.00000, 0.777398, 130.465, 0.749787, 19.4414, 0.765439, -114.906, 1.08052E-014, 80.5377, 7.94411E-015, 116.565, 3.55271E-015, 0
1650, 33.00000, 0.287321, -37.338, 0.414366, 10.3193, 0.595499, -21.6648, 5.68712E-015, 51.3402, 1.77636E-015, 180, 8.88178E-016, 180
1750, 35.00000, 0.561472, -31.7896, 1.1678, 61.5529, 0.532245, 159.538, 1.06581E-014, -90, 4.44089E-015, 143.13, 1.77636E-015, 0
1850, 37.00000, 0.0829526, 25.9816, 0.732125, 121.725, 0.780949, -55.1644, 8.68603E-015, -144.888, 2.51215E-015, 135, 5.95808E-015, -116.565
1950, 39.00000, 0.302101, 16.2159, 0.564936, 142.234, 0.237952, 83.4402, 4.39626E-015, -135, 2.39149E-015, 111.801, 4.7675E-015, -117.759
2050, 41.00000, 0.447648, 82.8793, 0.816848, -175.373, 0.20128, -16.0223, 6.23309E-015, -175.914, 5.77316E-015, 157.38, 3.66374E-015, 180
2150, 43.00000, 0.0912898, -57.2402, 0.665508, -126.97, 0.768567, 89.4544, 9.93014E-015, 26.5651, 1.77636E-015, 180, 6.40475E-015, -123.69
2250, 45.00000, 0.575115, 133.425, 0.406035, -98.7479, 0.206197, 155.353, 2.67377E-015, 131.634, 2.22045E-015, 126.87, 3.88578E-015, -126.87
2350, 47.00000, 0.712459, 158.179, 1.21502, -68.311, 0.382502, -4.89785, 1.34406E-014, -97.5946, 2.80867E-015, 18.4349, 5.84108E-015, -171.254
2450, 49.00000, 0.34992, 14.3551, 0.770928, -25.4965, 0.89678, -162.549, 5.34754E-015, -85.2364, 3.55965E-015, -93.5763, 3.66205E-015, 165.964
